Identifiant,Résumé,Statut,Version ciblée,Version du produit
0042393,Gérer POP > tableau POP > Action supprimer annonce > Aucun message d’alerte avant suppression,nouveau,,3.3.4
0042407,"Cloner DAPAQ > Cloner toutes les FAL ""coché""> les FAL inexistantes d'origine sont crééés à vide dans la FAL clonée",commentaire,,3.3.4
0042462,Question accès visiteurs pour base Integration,traité,,4.0.2
0042341,"[TdB] Saisir le consignataire courant comme ""Consignataire suivant"" provoque plein de problèmes",nouveau,,3.3.4
0041711,Mouvement Entrée  mvt ME réalisé  > occup quai : la ligne bleue est bornée à date prévue au lieu de inconnu,nouveau,,3.6.0
0041224,[HEBERGEMENT] Une fuite de mémoire oblige le centre serveur à redémarrer l'application régulièrement.,nouveau,,3.3.4
0026664,Message alerte sur disponibilité du PAQ : non conforme,à traiter,,V3.1.1
0026563,Tableau des mouvements > affiche mauvais PAQ si annulation mvt ferrie par Ecran vigie,commentaire,,V3.1.1
0023737,Marquer une DAPAQ confidentielle ne crée par d'alerte sur la demande dans le tableau de recherche.,commentaire,,V2.0.0 (Lot6)
0022464,"DAF > RGP-PJ004""Le système ne permet d’ajouter qu’une pièce jointe par incident"" > on peut en saisir plusieurs",accepté,,v3.0.0
0021877,Problème FTP -alerte du CS St Malo,accepté,,v3.0.0
0018370,Profil capitainerie / AP / Vigie,commentaire,,v2.9.2
0023015,FAE2016-015 Annulation d’un mouvement MAR de sortie Ferry à partir Ecran vigie supprime mouvement entrée prévu non annulé,accepté,,v3.0.0
0022400,Profils Concessionnaire Exploitant + Consignataire  = accès bloqué,commentaire,,v3.0.0
0025473,Définir le format des fichiers d'import des formalités GUP,nouveau,,v3.0.2
0039100,EVOL : pouvoir créer une  DAPAQ avec un navire TBN pas encore connu,nouveau,,3.3.4
0026459,Demande consignataire > si 1 remorqueur demandé pas affiché dans Tableau demandes,à traiter,,V3.1.1
0040727,Question : Quand transmettre exactement les FAL5-6 à Trafic2000,nouveau,,3.5.1
